100 1e-05 2.57592 2.46115 
100 1e-05 1.13929 1.069
200 1e-05 0.768287 0.720395
200 1e-05 1.29144 1.2339
300 1e-05 0.584106 0.550506
300 1e-05 0.861732 0.823339
400 1e-05 0.467659 0.440688
400 1e-05 0.64659 0.617783
500 1e-05 0.418026 0.396763
500 1e-05 0.517412 0.49436
600 1e-05 0.359332 0.341087
600 1e-05 0.431254 0.412041
700 1e-05 0.310558 0.294411
700 1e-05 0.369694 0.353223
800 1e-05 0.258304 0.244525
800 1e-05 0.323514 0.3091
900 1e-05 0.229987 0.218174
900 1e-05 0.276273 0.262855
1000 1e-05 0.084737 0.207462
1000 1e-05 0.0984999 0.247314

