x  mean deviation
100 3.563549 0.094229712871142
125 2.86509727272727 0.078846194846791
150 2.39003818181818 0.065838378445734
175 2.05011545454545 0.056514371157014
200 1.788646 0.047473134437631
225 1.600395 0.044225396989613
250 1.43698636363636 0.039663571012386
275 1.30671909090909 0.036079014802111
300 1.193966 0.031728737482324
325 1.10616545454545 0.030554860616156
350 1.02732909090909 0.028380655585996
375 0.958981 0.026496175916536
400 0.8960511 0.023826940226232
425 0.846365636363636 0.023390059791598
450 0.799426363636364 0.022095144657923
475 0.755202083333333 0.021389249612654
500 0.717118 0.019076110406008
525 0.6830199 0.018170372432128
550 0.652017 0.017346953808794
575 0.6237066 0.015973715841274
600 0.5977524 0.015904877750762
625 0.5738717 0.015270333177257
650 0.553776333333333 0.014684234620844
675 0.5314115 0.014141518009433
700 0.5124535 0.013637846084824
725 0.4948015 0.013168459162796
750 0.4783251 0.012730474194275
775 0.4629108 0.012320308661357
800 0.4484587 0.0119363011398
825 0.4348819 0.011575120286872
850 0.4221028 0.011235245146908
875 0.4100538 0.010914831925209
900 0.3986727 0.010612001434958
925 0.3879069 0.010325814097042
950 0.3777071 0.010054465027484
975 0.3680299 0.009797206352947















