100 1e-06 3.5721 3.45091
100 1e-06 3.82407 3.69882
200 1e-06 1.79272 1.7319
200 1e-06 1.91968 1.8568
300 1e-06 1.19667 1.15604
300 1e-06 1.28149 1.23952
400 1e-06 0.898062 0.867572
400 1e-06 0.96176 0.93026
500 1e-06 0.718699 0.694317
500 1e-06 0.769716 0.744506
600 1e-06 0.599066 0.578742
700 1e-06 0.513576 0.496153
700 1e-06 0.550049 0.532034
800 1e-06 0.44944 0.434192
800 1e-06 0.481362 0.465596
900 1e-06 0.41681 0.402978
900 1e-06 0.399543 0.385989
1000 1e-06 0.132381 0.347419
1000 1e-06 0.140758 0.372552

