x mean deviation

100 1.726153 0.42167232415704
125 1.36207836363636 0.311565796990386
150 1.18350063636364 0.240627302277307
175 1.04716990909091 0.192460039117451
200 0.9824761 0.17032571969641
225 0.9140562 0.124322114101322
250 0.8389878 0.095351650040842
275 0.7725068 0.089209718995684
300 0.6850539 0.091440718056928
325 0.643425818181818 0.089174107721713
350 0.587649 0.073721186874753
375 0.560583888888889 0.072520544215837
400 0.5382216 0.058522893435342
425 0.515985 0.050680827045343
450 0.4893697 0.046444136403139
475 0.447904166666667 0.051253765842722
500 0.4365313 0.035822683974295
525 0.4171927 0.033223101862175
550 0.3994988 0.030929620487667
575 0.3883418 0.024633516051645
600 0.3730645 0.02311497671905
625 0.3615873 0.020727048249141
650 0.3482973 0.019582514037046
675 0.3359503 0.018546427472996
700 0.3244493 0.017605118176573
725 0.3086453 0.022888965172715
750 0.2989031 0.021764807304199
775 0.2897579 0.020732989801281
800 0.2811565 0.019783995924035
825 0.2730518 0.018908571735239
850 0.2654527 0.018495214264176
875 0.2581957 0.017746427046028
900 0.2513248 0.017050563417214
925 0.2448109 0.016402060632399
950 0.2386265 0.015796810073556
975 0.2327469 0.015230593593525


